NAMEREC;CONTRACT2;CLIENTNAME;STREET;HOME;SERVICENUMBER;PLACE;REGISTERTYPENAME;FACTORYNUM;MOUNTDATE;PLOMBA
Тракторозаводский район;71044;"ООО ""ЖЭУ-27""";Мамина;11А;3245;;WP / WPH (ZENNER)(Германия);13000392;10.09.2013;1274           
Тракторозаводский район;71044;"ООО ""ЖЭУ-27""";Мамина;6;3235;;WP / WPH  (ZENNER) (германия);05061032;10.09.2013;1045           
Тракторозаводский район;71044;"ООО ""ЖЭУ-27""";Мамина;6;43180;;WP / WPH  (ZENNER) (германия);12034819;10.09.2013;1032           
Тракторозаводский район;71044;"ООО ""ЖЭУ-27""";Мамина;2А;3232;;WP / WPH  (ZENNER) (германия);12070777;10.09.2013;1042           
Тракторозаводский район;71104;"ООО УК ""Единство""";Героев Танкограда;112;6519;;МТК / MTW (Zenner) (Германия);1210053376;09.09.2013;1332           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Хохрякова;14;3358;;МТК / MTW (Zenner) (Германия);1210040579;09.09.2013;1347           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Хохрякова;30А;3360;;WP / WPH  (ZENNER) (германия);12071014;09.09.2013;1345           
Тракторозаводский район;71036;"ООО ""ЖЭУ-4""";Горького;34;23711;;МТК / MTW (Zenner) (Германия);1310016667;10.09.2013;1272           
Тракторозаводский район;71036;"ООО ""ЖЭУ-4""";Горького;32;23710;;МТК / MTW (Zenner) (Германия);131006767;10.09.2013;9327           
Тракторозаводский район;71040;"ООО ""ЖЭУ-8""";3-я Арзамасская;13;23877;;МТК / MTW (Zenner) (Германия);1310015428;29.08.2013;1021           
Тракторозаводский район;71040;"ООО ""ЖЭУ-8""";3-я Арзамасская;13;43181;;МТК  / MTW (Zenner) (Германия);1210055420;29.08.2013;1276           
Тракторозаводский район;71040;"ООО ""ЖЭУ-8""";3-я Арзамасская;7;23874;;МТК / MTW (Zenner) (Германия);1310015394;29.08.2013;1279           
Тракторозаводский район;71215;"ООО ""Первая Управляющая""";Горького;36;23712;;МТК / MTW (Zenner) (Германия);1310016665;10.09.2013;7779           
Тракторозаводский район;71034;"ООО ""ЖЭУ-1""";АРТИЛЛЕРИЙСКИЙ;6;23503;;WP / WPH  (ZENNER) (германия);05061010;12.09.2013;1333           
Тракторозаводский район;71044;"ООО ""ЖЭУ-27""";Мамина;11;43182;;WP / WPH  (ZENNER) (германия);05060330;10.09.2013;1040           
Советский район;71056;"ООО ""ДЕМЕТРА""";Калининградская;21А;25228;;МТК / MTW (Zenner) (Германия);1210053485;06.06.2013;4839           
Тракторозаводский район;71038;"ООО ""ЖЭУ-6""";Марченко;13Б;23826;;Minomess (Minol) (Германия);8490245;23.09.2013;1220           
Тракторозаводский район;71038;"ООО ""ЖЭУ-6""";Марченко;13Г;23828;;Minomess (Minol) (Германия);8490195;03.06.2013;1219           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Комарова;133А;6528;;МТК  / MTW (Zenner) (Германия);11069712;20.09.2013;1221           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Либединского;47А;24075;;WP / WPH  (ZENNER) (германия);05060985;04.10.2013;1020           
Тракторозаводский район;71040;"ООО ""ЖЭУ-8""";Главная;4;3393;;МТК  / MTW (Zenner) (Германия);7190116;18.09.2013;1437           
Ленинский район;71123;"ООО ""Аметист""";Новороссийская;79;42255;;МТК  / MTW (Zenner) (Германия);11069808;03.10.2013;1098           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Руставели;24;28;;МТК / MTW (Zenner) (Германия);1310016712;18.09.2013;1189           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Барбюса;3;50;;WP / WPH (ZENNER)(Германия);13004710;18.09.2013;2670           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Барбюса;5;51;;МТК / MTW (Zenner) (Германия);1310016597;18.09.2013;1199           
Ленинский район;71098;"ООО УК ""Ремжилзаказчик Центрального района""";Барбюса;17;4918;;МТК / MTW (Zenner) (Германия);1316016715;19.09.2013;1187           
Ленинский район;71018;"ООО ""УК СПРАВЕДЛИВОЕ ЖКХ""";Копейское;7;42251;;WP / WPH  (ZENNER) (германия);05061334;27.09.2013;0211           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Коммунаров;2;15;;МТК / MTW (Zenner) (Германия);1310016598;18.09.2013;1108           
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Гончаренко;64;241;;МТК / MTW (Zenner) (Германия);1310015393;26.09.2013;0410           
Ленинский район;71088;"ООО УК ""Ленком""";Дзержинского;103;4898;;МТК / MTW (Zenner) (Германия);1310016682;09.10.2013;0438           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Руставели;11;29;;МТК / MTW (Zenner) (Германия);1310016784;18.09.2013;1198           
Ленинский район;71089;"ООО УК ""Ленар""";Южный Бульвар;47;66;;WP / WPH  (ZENNER) (германия);05061909;09.10.2013;1084           
Ленинский район;71089;"ООО УК ""Ленар""";Вагнера;77;113;;МТК / MTW (Zenner) (Германия);20138489047;27.09.2013;0414           
Ленинский район;71050;"ООО ""Титан""";Энергетиков;23А;4863;;МТК  / MTW (Zenner) (Германия);11070266;09.09.2013;1110           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Южный Бульвар;26;31;;WP / WPH  (ZENNER) (германия);05061238;02.10.2013;0426           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Южный Бульвар;24;30;;WP / WPH  (ZENNER) (германия);05061230;02.10.2013;0216           
Курчатовский район;71031;"ООО УК ""Эллада"" ";Свердловский;10А;16620;;МТК / MTW (Zenner) (Германия);1210053633;31.07.2013;2              
Курчатовский район;71031;"ООО УК ""Эллада"" ";Свердловский;8А;24930;;WP/WPH (ZENNER) (Германия);12034501;31.07.2013;2              
Советский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Доватора;6А;1531;;МТК / MTW (Zenner) (Германия);1310016603;04.09.2013;2555           
Советский район;71112;"ООО ""Унита""";Обская;2;25257;;WP / WPH (ZENNER)(Германия);12068733;04.09.2013;2559           
Советский район;71056;"ООО ""ДЕМЕТРА""";Кузнецова;19;25245;;МТК / MTW (Zenner) (Германия);1310015395;04.09.2013;4              
Советский район;71112;"ООО ""Унита""";Ковшовой;13;4689;;WP / WPH (ZENNER)(Германия);130014711;04.09.2013;4              
Советский район;71112;"ООО ""Унита""";Кузнецова;15;25244;;WP / WPH (ZENNER)(Германия);12025950;04.09.2013;4              
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Руставели;27;44032;;МТК  / MTW (Zenner) (Германия);1310005682;05.08.2013;1393           
Металлургический район;71118;"ООО ""Центр 1""";Жукова;25;15018;;WP / WPH  (ZENNER) (германия);12027637;11.09.2013;4889           
Советский район;71055;"ООО ""Авилум""";Новосельская;7;4524;;WP/WPH (ZENNER) (Германия);12034796;20.11.2013;4              
Советский район;71055;"ООО ""Авилум""";Мебельная;39;4526;;МТК / MTW (Zenner) (Германия);8489053;20.11.2013;4              
Советский район;71008;"Общество с ограниченной ответственностью ""Южноуральский тракторостроитель""";Российская;208;18579;;МТК / MTW  (Zenner) (Германия);1310023782;19.11.2013;01567          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Захаренко;9А;5124;;WP / WPH (ZENNER)(Германия);12060926;12.08.2013;4              
Курчатовский район;71150;"Товарищество собственников жилья ""Тема""";Ворошилова;35А;21857;;WP/WPH (ZENNER) (Германия);12034128;08.08.2013;4              
Курчатовский район;71140;"ООО УК ""ЮниСтрит""";Скульптора Головницкого;16Б;41810;;МТК  / MTW (Zenner) (Германия);1310009332;23.08.2013;2              
Курчатовский район;71108;"ООО УК ""ЮУ КЖСИ""";Скульптора Головницкого;20Б;41808;;СКБ (г.Москва);18680-13;23.08.2013;1303           
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Ленина;30А;4073;;WP/WPH (ZENNER) (Германия);05060393;25.09.2013;4              
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Российская;65;3986;;МТК / MTW (Zenner) (Германия);1310016740;25.09.2013;4              
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Ленина;28В;4070;;МТК / MTW (Zenner) (Германия);1310016786;25.09.2013;4              
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Свердловский;52;3954;;МТК / MTW (Zenner) (Германия);1310015420;25.09.2013;4              
Ленинский район;71045;"ООО ЖЭУ ""Сервис""";Василевского;70А;14079;;МТК  / MTW (Zenner) (Германия);11038592;03.10.2013;430            
Курчатовский район;71003;"ЖСК ""Заря""";Молодогвардейцев;26;603;;МТК / MTW (Zenner) (Германия);1310016773;03.09.2013;2              
Курчатовский район;71003;"ЖСК ""Заря""";Молодогвардейцев;26;602;;МТК / MTW (Zenner) (Германия);1310015427;03.09.2013;2              
Металлургический район;71058;"ООО ""Ремжилзаказчик ЖЭУ № 1""";Металлургов;43;23113;;МТК / MTW (Zenner) (Германия);1210048380;22.08.2013;0517           
Курчатовский район;71108;"ООО УК ""ЮУ КЖСИ""";Бейвеля;46А;41790;;МТК / MTW (Zenner) (Германия);1310001149;24.05.2013;5036           
Курчатовский район;71108;"ООО УК ""ЮУ КЖСИ""";Бейвеля;46А;43248;;МТК / MTW (Zenner) (Германия);1310001450;24.05.2013;5044           
Курчатовский район;71006;"ЖСК ""Старт""";Солнечная;18;605;;WP/WPH (ZENNER) (Германия);05061865;13.11.2013;2              
Курчатовский район;71101;"ООО УК ""СОЮЗ""";Солнечная;18;605;;WP/WPH (ZENNER) (Германия);05061865;13.11.2013;2              
Курчатовский район;71006;"ЖСК ""Старт""";Солнечная;18;606;;WP/WPH (ZENNER) (Германия);05061896;13.11.2013;2              
Курчатовский район;71101;"ООО УК ""СОЮЗ""";Солнечная;18;606;;WP/WPH (ZENNER) (Германия);05061896;13.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Пионерская;11;2894;;WP/WPH (ZENNER) (Германия);05061633;13.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Солнечная;10А;661;;МТК / MTW (Zenner) (Германия);1310020893;13.11.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;21;2382;;МТК  / MTW (Zenner) (Германия);1210055368;24.10.2013;2              
Советский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Труда;3;4222;;WP/WPH (ZENNER) (Германия);05061235;26.09.2013;4              
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Южная;2А;1883;;WP/WPH (ZENNER) (Германия);05060359;25.09.2013;4              
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Свердловский;80;2220;;МТК / MTW (Zenner) (Германия);1310020629;25.09.2013;4              
Калининский район;71013;"ООО ""Диалог""";40-летия Победы;26;20818;;МТК / MTW (Zenner) (Германия);1310000469;28.06.2013;3587           
Калининский район;71103;"ООО УК ""Строитель-97""";40-летия Победы;33А;15513;;WP/WPH (ZENNER) (Германия);12034527;28.06.2013;3719           
Калининский район;71103;"ООО УК ""Строитель-97""";40-летия Победы;33Б;15511;;WP/WPH (ZENNER) (Германия);11070311;28.06.2013;3706           
Калининский район;71103;"ООО УК ""Строитель-97""";40-летия Победы;35;27903;;WP/WPH (ZENNER) (Германия);11069954;28.06.2013;3592           
Калининский район;71103;"ООО УК ""Строитель-97""";40-летия Победы;35А;15509;;WP/WPH (ZENNER) (Германия);11070307;28.06.2013;3720           
Калининский район;71103;"ООО УК ""Строитель-97""";250-летия Челябинска;10;42111;;WP/WPH (ZENNER) (Германия);12025317;12.08.2013;1              
Калининский район;71103;"ООО УК ""Строитель-97""";40-летия Победы;33;18580;;WP/WPH (ZENNER) (Германия);11070296;28.06.2013;3590           
Калининский район;71103;"ООО УК ""Строитель-97""";40-летия Победы;33;18582;;WP/WPH (ZENNER) (Германия);11070349;28.06.2013;3593           
Калининский район;71045;"ООО ЖЭУ ""Сервис""";Калинина(Калининский);11Г;42001;;WP/WPH (ZENNER) (Германия);11058587;30.05.2013;3339           
Калининский район;71045;"ООО ЖЭУ ""Сервис""";Калинина(Калининский);11В;38258;;WP/WPH (ZENNER) (Германия);11070287;30.05.2013;3328           
Тракторозаводский район;71081;"ООО ""Академия""";Конструктора Духова;5;42176;;МТК / MTW (Zenner) (Германия);1310015457;14.10.2013;1294           
Тракторозаводский район;71081;"ООО ""Академия""";Конструктора Духова;3;42179;;МТК  / MTW (Zenner) (Германия);1310022028;14.10.2013;1298           
Тракторозаводский район;71081;"ООО ""Академия""";Конструктора Духова;7;42178;;МТК  / MTW (Zenner) (Германия);1310022027;14.10.2013;1176           
Тракторозаводский район;71081;"ООО ""Академия""";Конструктора Духова;5;42177;;МТК  / MTW (Zenner) (Германия);1310022026;14.10.2013;1291           
Советский район;71055;"ООО ""Авилум""";Доватора;16А;4461;;WP / WPH (ZENNER)(Германия);12034795;31.10.2013;4              
Советский район;71055;"ООО ""Авилум""";Гайдара;13А;19490;;WP / WPH (ZENNER)(Германия);13000250;31.10.2013;4              
Советский район;71178;"ООО УК ""ЮжУралЖКХ""";Цвиллинга;57;1537;;WP / WPH  (ZENNER) (германия);12034812;10.10.2013;02928          
Металлургический район;71023;"ООО ""Доверие+6""";Мира;19;16039;;МТК / MTW (Zenner) (Германия);6512215;14.08.2013;00343          
Металлургический район;71021;"ООО ""Доверие+3""";Липецкая;8;16123;;МТК / MTW (Zenner) (Германия);1210048381;02.08.2013;4896           
Калининский район;71003;"ЖСК ""Заря""";Победы;335;44331;;WP / WPH (ZENNER)(Германия);13000372;27.09.2013;2              
Калининский район;71003;"ЖСК ""Заря""";Победы;335;44332;;WP/WPH (ZENNER) (Германия);12070764;27.09.2013;2              
Калининский район;71116;"ООО ""ФЕНИКС""";Либединского;33;17667;;МТК / MTW (Zenner) (Германия);1310020609;30.10.2013;2              
Тракторозаводский район;71035;"ООО ""ЖЭУ-2""";Комарова;114А;23562;;WP / WPH (ZENNER)(Германия);12067809;29.08.2013;1430           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Молодогвардейцев;30;10236;;МТК / MTW (Zenner) (Германия);1310016775;03.09.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;54;644;;МТК / MTW (Zenner) (Германия);1310016774;03.09.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;58;2740;;WP/WPH (ZENNER) (Германия);05060968;03.09.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Куйбышева;27;922;;WP/WPH (ZENNER) (Германия);11070299;04.09.2013;2521           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;28А;906;;WP/WPH (ZENNER) (Германия);12025286;04.09.2013;1385           
Курчатовский район;71085;"ООО УК ""Инженерный комплекс Западный луч""";Куйбышева;19;5861;;WP/WPH (ZENNER) (Германия);11068964;04.09.2013;3084           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;45;2871;;МТК / MTW (Zenner) (Германия);1310016590;04.09.2013;10578          
Курчатовский район;71103;"ООО УК ""Строитель-97""";Комсомольский;62Б;42165;;МТК / MTW (Zenner) (Германия);1310016591;03.09.2013;2              
Курчатовский район;71003;"ЖСК ""Заря""";Молодогвардейцев;26;601;;МТК / MTW (Zenner) (Германия);1310016772;03.09.2013;2              
Металлургический район;71023;"ООО ""Доверие+6""";Мира;25;16046;;WP / WPH  (ZENNER) (германия);12071181;14.08.2013;00349          
Металлургический район;71023;"ООО ""Доверие+6""";Мира;27;16049;;WP / WPH  (ZENNER) (германия);12070731;11.08.2013;00519          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Свердловский;9;2387;;МТК / MTW (Zenner) (Германия);1310015391;10.10.2013;2              
Курчатовский район;71003;"ЖСК ""Заря""";Солнечная;14А;597;;WP/WPH (ZENNER) (Германия);05061678;16.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;314;2875;;WP/WPH (ZENNER) (Германия);12071092;10.10.2013;1              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;33Г;15321;;WP/WPH (ZENNER) (Германия);05061650;08.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;43Б;2869;;МТК / MTW (Zenner) (Германия);1310016637;08.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;304;2880;;WP/WPH (ZENNER) (Германия);05061172;08.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;318;2877;;WP/WPH (ZENNER) (Германия);05061855;10.10.2013;13860          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;298;2732;;МТК / MTW (Zenner) (Германия);1310016901;08.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Солнечная;4;10235;;WP/WPH (ZENNER) (Германия);12060203;11.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Ворошилова;3;628;;МТК / MTW (Zenner) (Германия);1310015575;16.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Солнечная;6Б;659;;МТК / MTW (Zenner) (Германия);8488980;11.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Молодогвардейцев;8;653;;WP/WPH (ZENNER) (Германия);12060236;11.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Солнечная;14;664;;WP/WPH (ZENNER) (Германия);05061660;16.10.2013;11402          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Солнечная;22;668;;WP/WPH (ZENNER) (Германия);05061604;16.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Солнечная;12;663;;WP/WPH (ZENNER) (Германия);05061637;16.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Победы;300;2881;;WP/WPH (ZENNER) (Германия);05061616;08.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Пионерская;5;2893;;МТК / MTW (Zenner) (Германия);8489009;10.10.2013;1              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Пионерская;8;2890;;WP/WPH (ZENNER) (Германия);05061918;08.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Красного Урала;12;10223;;WP/WPH (ZENNER) (Германия);12034678;10.10.2013;1              
Курчатовский район;71094;"ООО  УК ""Наш дом""";Комсомольский;66А;669;;МТК / MTW (Zenner) (Германия);8488943;11.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Свердловский;11;42290;;МТК / MTW (Zenner) (Германия);1310015385;10.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Солнечная;10Г;42289;;МТК / MTW (Zenner) (Германия);8488979;11.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Захаренко;2;27313;;WP/WPH (ZENNER) (Германия);12029806;11.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Захаренко;2;27312;;WP/WPH (ZENNER) (Германия);12034774;11.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Красного Урала;6;11805;;WP/WPH (ZENNER) (Германия);05061901;24.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Чайковского;16;899;;WP/WPH (ZENNER) (Германия);05061850;24.10.2013;2              
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Руставели;27;105;;МТК  / MTW (Zenner) (Германия);20127730353;05.08.2013;5936           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Дегтярева;102;22958;;МТК / MTW (Zenner) (Германия);03927098;10.04.2013;0749           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Дегтярева;91;22957;;МТК  / MTW (Zenner) (Германия);03930316;10.04.2013;0697           
Металлургический район;71022;"ООО ""Доверие+5""";Прокатная;20А;44731;;WP / WPH  (ZENNER) (германия);II-ввод;15.07.2013;00019          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Красного Урала;20;2897;;МТК / MTW (Zenner) (Германия);1310020643;24.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;60;8371;;WP/WPH (ZENNER) (Германия);12071065;10.10.2013;08923          
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;8;5257;;МТК / MTW (Zenner) (Германия);1310016791;23.09.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;10;2380;;МТК / MTW (Zenner) (Германия);1310016726;23.09.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Цинковая;12;3000;;WP/WPH (ZENNER) (Германия);05060962;23.09.2013;2              
Центральный район;71117;"ООО Фирма ""Уют-Сервис""";Карла Маркса;81;44765;<пусто>;СГВ (Бетар) (г.Чистополь);13399894;31.05.2013;
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Захаренко;5;800;;WP / WPH (ZENNER)(Германия);13000398;13.09.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Захаренко;11;807;;WP/WPH (ZENNER) (Германия);05061011;13.09.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Захаренко;5;801;;WP / WPH (ZENNER)(Германия);13004686;13.09.2013;2              
Курчатовский район;71031;"ООО УК ""Эллада"" ";Свердловский;12А;16625;;МТК / MTW (Zenner) (Германия);1310016664;23.07.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Захаренко;11;808;;WP / WPH (ZENNER)(Германия);13000244;13.09.2013;2              
Металлургический район;71059;"ООО ""Ремжилзаказчик-ЖЭУ №2""";Металлургов;31;23034;;МТК / MTW (Zenner) (Германия);1310016780;02.09.2013;0511           
Металлургический район;71059;"ООО ""Ремжилзаказчик-ЖЭУ №2""";Металлургов;31;44322;;МТК / MTW (Zenner) (Германия);1310016782;02.09.2013;0513           
Металлургический район;71059;"ООО ""Ремжилзаказчик-ЖЭУ №2""";Обухова;6;22787;;МТК / MTW (Zenner) (Германия);1310016673;11.09.2013;0299           
Металлургический район;71059;"ООО ""Ремжилзаказчик-ЖЭУ №2""";Байкальская;48;22804;;МТК / MTW (Zenner) (Германия);1310015384;11.09.2013;0278           
Металлургический район;71059;"ООО ""Ремжилзаказчик-ЖЭУ №2""";Металлургов;27;23031;;МТК / MTW (Zenner) (Германия);1210040578;22.08.2013;0326           
Металлургический район;71059;"ООО ""Ремжилзаказчик-ЖЭУ №2""";Бородинская;14;22821;;МТК / MTW (Zenner) (Германия);1310016675;11.09.2013;0276           
Металлургический район;71059;"ООО ""Ремжилзаказчик-ЖЭУ №2""";Обухова;4;22785;;WP/WPH (ZENNER) (Германия);05060979;02.09.2013;0506           
Металлургический район;71059;"ООО ""Ремжилзаказчик-ЖЭУ №2""";Металлургов;29;42183;;МТК / MTW (Zenner) (Германия);1310016763;11.09.2013;0457           
Металлургический район;71061;"ООО ""Ремжилзаказчик-ЖЭУ № 4""";Трудовая;17А;22904;;МТК / MTW (Zenner) (Германия);1310016759;02.08.2013;0090           
Металлургический район;71061;"ООО ""Ремжилзаказчик-ЖЭУ № 4""";Трудовая;27А;22910;;МТК / MTW (Zenner) (Германия);1310016783;02.09.2013;0172           
Металлургический район;71061;"ООО ""Ремжилзаказчик-ЖЭУ № 4""";Трудовая;25А;22909;;МТК / MTW (Zenner) (Германия);1310016672;11.09.2013;0453           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;23;2375;;МТК  / MTW (Zenner) (Германия);1210053369;24.10.2013;2              
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Островского;19;2373;;МТК  / MTW (Zenner) (Германия);1210055391;24.10.2013;2              
Тракторозаводский район;71076;"ООО ""УК ДСС""";Трашутина;45;41042;;СГВ (Бетар) (г.Чистополь);6147674;18.11.2013;1500           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Салавата Юлаева;3;846;;ВСХН ( POWOGAZ);0195;26.09.2013;12530          
Ленинский район;71089;"ООО УК ""Ленар""";Дзержинского;117;136;;WP / WPH  (ZENNER) (германия);05061790;27.11.2013;0939           
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Новороссийская;25;44106;;МТК  / MTW (Zenner) (Германия);1210055355;08.11.2013;1318           
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Новороссийская;122;4989;;МТК  / MTW (Zenner) (Германия);8490246;10.10.2013;1147           
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Новороссийская;122;44108;;МТК  / MTW (Zenner) (Германия);8490197;10.10.2013;1169           
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Днепровская;10;17369;;МТК / MTW (Zenner) (Германия);1310020913;08.11.2013;1310           
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Новороссийская;61А;8101;;МТК  / MTW (Zenner) (Германия);1210055353;18.11.2013;1037           
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Новороссийская;65А;8125;;МТК  / MTW (Zenner) (Германия);1210055241;18.11.2013;1028           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Коммунаров;6;16;;МТК / MTW (Zenner) (Германия);1310020896;27.11.2013;0937           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Барбюса;1;49;;WP / WPH  (ZENNER) (германия);05061767;27.11.2013;1419           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Барбюса;1;44109;;WP / WPH  (ZENNER) (германия);05061829;27.11.2013;0933           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";9 Мая;16;491;;МТК / MTW (Zenner) (Германия);8488958;26.11.2013;1412           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Барбюса;33;4923;;МТК / MTW (Zenner) (Германия);8489060;26.11.2013;0900           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Гагарина;8;4925;;МТК / MTW (Zenner) (Германия);8489065;26.11.2013;1425           
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Днепровская;2А;8160;;МТК  / MTW (Zenner) (Германия);1310022981;27.11.2013;0927           
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Бугурусланская;31;8157;;МТК / MTW (Zenner) (Германия);1310020612;27.11.2013;0929           
Ленинский район;71050;"ООО ""Титан""";Агалакова;35;42364;;WP / WPH (ZENNER)(Германия);13017737;27.11.2013;0931           
Ленинский район;71049;"ООО ""Аквамарин""";Суркова;24;4901;;WP / WPH  (ZENNER) (германия);11053601;26.11.2013;0258           
